split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_minimum_peak_ratio,60,1.7423075680604172,1.7433683874514367,-0.1861628230063907,-0.12315234041682123,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_curvature,60,0.008887210147217576,0.009080642989092402,-0.04523478744095583,-0.028166791660991602,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_total_spectral_energy,60,6793588.17723062,6795881.42006636,-0.10291747707696584,-0.14340325274934054,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_boundary_count,60,0.0,0.0,,,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_valid_pair_count,60,3.0,3.0,,,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_ratio,60,1.894994691029654,1.866690100960303,-0.18121700472353436,-0.18852084945953787,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_minimum_peak_ratio,60,1.6038232874639737,1.6079672493064496,-0.058349541539316485,0.009097999229335041,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_curvature,60,0.008670764804922989,0.008641835586517776,-0.30475131981105874,-0.3440218741668335,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_total_spectral_energy,60,13333287.922937144,13282527.986247834,-0.06757432620172271,-0.09502411807824504,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_boundary_count,60,0.0,0.0,,,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
